date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:30	11825/11825	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Dec%202022%2010:33:57%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1672137237.jpg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1672137237.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:31	11142/11142	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202024%2009:16:03%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1706519763.jpeg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1706519763.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:31	10572/10572	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Dec%202022%2006:40:44%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671864044.jpg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671864044.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:31	13897/13897	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Dec%202022%2006:31:14%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863474.jpg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863474.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:31	9818/9818	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Dec%202022%2006:23:48%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863028.png	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863028.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:31	199099/199099	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Dec%202022%2006:15:49%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671862549.jpg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671862549.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:32	6043/6043	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Dec%202022%2006:34:33%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863673.png	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863673.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:32	18778/18778	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Dec%202022%2006:36:10%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863770.png	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/media_to_upload1671863770.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:32	116600/116600	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202024%2009:19:52%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/96071706519992.jpg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/96071706519992.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:32	234540/234540	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202024%2006:27:59%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/41461706509679.jpeg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/41461706509679.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:33	102644/102644	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202024%2006:25:49%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/72761706509549.jpeg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/72761706509549.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:33	330208/330208	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202023%2007:06:56%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/23561702451216.jpeg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/23561702451216.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:33	243956/243956	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202023%2007:06:56%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/uploads/98561702451216.jpeg	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/uploads/98561702451216.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:33	84081/84081	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:20:34%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/gallery/kn	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/gallery/kn.html	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:34	60058/60058	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:20:34%20GMT	https://gpt.karnataka.gov.in/gwptbengaluru/public/39/result-announcement/en	C:/My%20Web%20Sites/WPT/gpt.karnataka.gov.in/gwptbengaluru/public/39/result-announcement/en.html	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:34	10383/10383	---M--	200	added ('OK')	image/png	etag:%22288f-5c8030c74edc0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/CONTACT-DIRECTORY.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/CONTACT-DIRECTORY.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:34	21906/21906	---M--	200	added ('OK')	image/png	etag:%225592-5c80343f2dc80%22	https://ceg.karnataka.gov.in/frontend/opt1/images/IMPORTENT-WEBSITES.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/IMPORTENT-WEBSITES.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:34	6595/6595	---M--	200	added ('OK')	image/png	etag:%2219c3-5c8048f4a7840%22	https://ceg.karnataka.gov.in/frontend/opt1/images/ceg11.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/ceg11.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:34	14267/14267	---M--	200	added ('OK')	image/png	etag:%2237bb-5c8036f0af740%22	https://ceg.karnataka.gov.in/frontend/opt1/images/E-SERVICES.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/E-SERVICES.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:35	19086/19086	---M--	200	added ('OK')	image/png	etag:%224a8e-5c803036597c0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/STATISTICS-WEBSITES.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/STATISTICS-WEBSITES.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:35	6422/6422	---M--	200	added ('OK')	image/png	etag:%221916-5c8030ec80580%22	https://ceg.karnataka.gov.in/frontend/opt1/images/MOBILE-APPS.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/MOBILE-APPS.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:35	11157/11157	---M--	200	added ('OK')	image/png	etag:%222b95-5c8031a954300%22	https://ceg.karnataka.gov.in/frontend/opt1/images/TECHNICLE-WEBSITES.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/TECHNICLE-WEBSITES.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:36	13350/13350	---M--	200	added ('OK')	image/png	etag:%223426-5c80487c7dcc0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/KANNADA-WEBSITES.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/KANNADA-WEBSITES.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:36	13056/13056	---M--	200	added ('OK')	image/png	etag:%223300-5c80301ab1680%22	https://ceg.karnataka.gov.in/frontend/opt1/images/LAW-COURT.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/LAW-COURT.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:37	10588/10588	---M--	200	added ('OK')	image/png	etag:%22295c-5c803067f0cc0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/TOURIST-WEBSITE.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/TOURIST-WEBSITE.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:37	14279/14279	---M--	200	added ('OK')	image/png	etag:%2237c7-5c8030a9be800%22	https://ceg.karnataka.gov.in/frontend/opt1/images/GOVERNMENT-HOLLIDAY.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/GOVERNMENT-HOLLIDAY.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:37	10809/10809	---M--	200	added ('OK')	image/png	etag:%222a39-5ac318462dd80%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/karnataka_rajbhavan.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/karnataka_rajbhavan.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:37	10178/10178	---M--	200	added ('OK')	image/png	etag:%2227c2-5ac31c222f880%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/vidan_souda.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/vidan_souda.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:38	11000/11000	---M--	200	added ('OK')	image/png	etag:%222af8-5ac3183503500%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/vidan_sabhe.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/vidan_sabhe.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:38	10483/10483	---M--	200	added ('OK')	image/png	etag:%2228f3-5ac31821f0800%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/vidan_parishat.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/important_websites/vidan_parishat.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:38	9564/9564	---M--	200	added ('OK')	image/png	etag:%22255c-5acab849fbf00%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/webportal%20logo.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/webportal%20logo.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:38	7596/7596	---M--	200	added ('OK')	image/png	etag:%221dac-5a91f78e66a40%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/adhaar.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/adhaar.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:39	8125/8125	---M--	200	added ('OK')	image/png	etag:%221fbd-5a91f76470740%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/eoffice.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/eoffice.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:39	7827/7827	---M--	200	added ('OK')	image/png	etag:%221e93-5a91f771ca6c0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/esangraha.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/esangraha.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:39	7588/7588	---M--	200	added ('OK')	image/png	etag:%221da4-5a91f77877680%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/hrms.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/hrms.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:39	8258/8258	---M--	200	added ('OK')	image/png	etag:%222042-5a91f75eb79c0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/krdh.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/krdh.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:39	8467/8467	---M--	200	added ('OK')	image/png	etag:%222113-5a91f786c5840%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/kswan.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/kswan.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:40	8920/8920	---M--	200	added ('OK')	image/png	etag:%2222d8-5acbccbb4b4c0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/sdc.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/ceg/sdc.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:40	11323/11323	---M--	200	added ('OK')	image/jpeg	etag:%222c3b-5d6f2db589a80%22	https://ceg.karnataka.gov.in/frontend/opt1/images/icons/kodi.jpg	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/icons/kodi.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:40	6347/6347	---M--	200	added ('OK')	image/jpeg	etag:%2218cb-5d6f32c965540%22	https://ceg.karnataka.gov.in/frontend/opt1/images/icons/digi.jpg	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/icons/digi.jpg	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:40	26365/26365	---M--	200	added ('OK')	image/png	etag:%2266fd-5ac33595b0480%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/eservices/kar.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/eservices/kar.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:41	17309/17309	---M--	200	added ('OK')	image/png	etag:%22439d-5dfa725aa3f00%22	https://ceg.karnataka.gov.in/frontend/opt1//images/icons/nad.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/icons/nad.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:41	37430/37430	---M--	200	added ('OK')	image/png	etag:%229236-5e557da6c4f40%22	https://egovernance.karnataka.gov.in/frontend/opt1/images/Janaspandana-logo.png	C:/My%20Web%20Sites/WPT/egovernance.karnataka.gov.in/frontend/opt1/images/Janaspandana-logo.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:41	187883/187883	---M--	200	added ('OK')	image/png	etag:%222ddeb-5e557d959a6c0%22	https://egovernance.karnataka.gov.in/frontend/opt1/images/kar_logo.png	C:/My%20Web%20Sites/WPT/egovernance.karnataka.gov.in/frontend/opt1/images/kar_logo.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:41	7398/7398	---M--	200	added ('OK')	image/png	etag:%221ce6-5ac3358ff7700%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/eservices/sakala.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/eservices/sakala.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:42	6583/6583	---M--	200	added ('OK')	image/png	etag:%2219b7-5ac335a3fe640%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/eservices/espandana.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/eservices/espandana.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:42	78572/78572	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:20:43%20GMT	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/e-pragathi.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/e-pragathi.html	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:42	78572/78572	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:20:43%20GMT	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/e_taal.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/e_taal.html	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:42	78572/78572	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:20:43%20GMT	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/data.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/data.html	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:43	78572/78572	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:20:43%20GMT	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/gazette.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/gazette.html	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:43	78572/78572	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:20:44%20GMT	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/pratibimba_cm_dashbaord.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/Statistics/pratibimba_cm_dashbaord.html	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:43	9602/9602	---M--	200	added ('OK')	image/png	etag:%222582-5ac44cecf50c0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/central_govt_websites/parliment_samsattu.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/central_govt_websites/parliment_samsattu.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
08:50:43	9928/9928	---M--	200	added ('OK')	image/png	etag:%2226c8-5ac44cf0c59c0%22	https://ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/central_govt_websites/presidents_office.png	C:/My%20Web%20Sites/WPT/ceg.karnataka.gov.in/frontend/opt1/images/modal_icons/central_govt_websites/presidents_office.png	(from https://gpt.karnataka.gov.in/gwptbengaluru/public/en)
